channel,hook,angle,cta
X,"A company can grow 17% and still be a bad acquisition.","Explain why growth without margin quality, concentration, liquidity, and source evidence can mislead first-pass underwriting.","View the DealLens sample"
X,"If one customer is 42% of revenue, your deal model has a single-account problem.","Explain renewal timing, pricing history, termination rights, and executive relationship ownership.","View the DealLens sample"
X,"Adjusted EBITDA is not a fact just because it is in the CIM.","Explain normalization questions and why reproducible arithmetic matters before deeper diligence.","See how DealLens structures the first pass"
X,"Your first diligence meeting should expose uncertainty, not confirm the CIM.","Show how source-linked evidence and management questions improve the next conversation.","Request a DealLens sample"
X,"Before paying for a full QoE, I would ask these 5 questions.","Focus on customer concentration, revenue quality, working capital, debt, and one-time adjustments.","View the redacted packet"
YouTube Shorts,"3 acquisition red flags I would check before buying a $5M business","Fast visual countdown: top-customer concentration, adjusted EBITDA quality, and working-capital pressure.","DealLens sample in description"
YouTube Shorts,"Why 40% customer concentration can kill an otherwise good deal","Explain downside sensitivity and relationship/contract dependence in under 45 seconds.","See the DealLens sample"
YouTube Shorts,"The CIM says revenue grew. Here is what I check next.","Growth decomposition, gross margin, EBITDA margin, retention, and source evidence.","See DealLens Express"
YouTube Shorts,"Do not let AI calculate your acquisition model like this","Contrast free-form LLM arithmetic with deterministic calculations plus AI evidence review.","View the DealLens trust architecture"
YouTube Shorts,"5 questions to ask management before expensive diligence starts","Management-question teaser focused on concentration, churn, debt, working capital, and change of control.","View the redacted sample"
LinkedIn,"The most expensive diligence mistake can happen before diligence begins.","Discuss spending senior time and third-party budget on weak opportunities without a disciplined first pass.","Review the DealLens sample"
LinkedIn,"I built DealLens for acquisition teams without an oversized analyst bench.","Founder/build story: first-pass packet, deterministic checks, source-linked evidence, human review.","Discuss a $1,500 Express engagement"
LinkedIn,"AI diligence should make evidence easier to inspect—not make conviction easier to fake.","Trust positioning around citations, deterministic finance, hostile-document handling, and human approval.","View the DealLens workflow"
